Rank,RollNo,InstituteCode,CourseCode
1005,6041063,110,4109
1006,1058138,106,4111
1007,2042142,102,4101
1008,1068179,106,4111
1009,2001216,104,4107
1011,7010079,117,4124
1012,5060117,106,4125
1013,1044001,102,4117
1014,1067111,106,4111
1015,3023189,106,5225
1016,6012193,110,4125
1017,2001352,104,4107
1018,6046165,110,4125
1019,1062101,106,4111
1021,1023210,102,4101
1022,6038192,110,5217
1024,1066251,102,4107
1025,1070217,109,4125
1026,1027328,102,4109
1027,2051106,109,4125
1028,6085061,110,4125
1029,4002111,102,4109
1030,1008103,102,4101
1031,4011096,113,4114
1032,2001398,113,4114
1033,7017199,109,4125
1034,2045306,109,4125
1036,2029098,104,4136
1038,1054109,102,4107
1041,4043087,102,4117
1042,1073203,117,4124
1043,2044017,106,5506
1044,2037092,110,5217
1045,7004150,102,4107
1046,2019197,109,4125
1048,7021409,110,5217
1048,4010200,117,4124
1050,1084049,106,4111
1051,2027350,115,4110
1052,6100014,110,4125
1054,1067092,106,4111
1055,7033143,106,4111
1056,2041125,113,4114
1057,6047123,117,4124
1058,1061072,117,4124
1059,7011113,106,5506
1060,1062126,109,4125
1061,2019140,113,4114
1062,6081222,110,4125
1065,1054087,105,4110
1066,1032229,102,4101
1067,6048127,106,5225
1069,1085067,106,4111
1070,5048077,106,4111
1071,1025212,106,5225
1072,6067020,110,5217
1073,7003105,110,4125
1074,1004192,104,4117
1075,6081044,110,5217
1076,2029084,105,4110
1078,2006294,113,4114
1079,2006079,105,4110
1080,4008189,106,5225
1081,1029097,102,4107
1082,1028230,102,4107
1082,6049102,110,4125
1084,2007251,113,4114
1085,2039303,106,5225
1086,2032238,113,4114
1087,1070154,102,4107
1088,7027067,106,4111
1089,4004207,109,4125
1090,2003187,113,4114
1092,1003083,102,5229
1093,2034254,110,5217
1095,4014097,105,4110
1096,5005111,110,4125
1097,6047041,110,5217
1098,1084150,110,4125
1099,1065161,102,4107
1100,4009252,113,4114
1101,1029180,110,5217
1102,7037090,102,4109
1104,1065025,106,5506
1105,4038115,113,4114
1106,7002139,102,4107
1107,6022132,117,4124
1108,2042271,113,4111
1110,1063218,117,4124
1111,2022178,113,4114
1112,4042345,109,4125
1112,7017053,111,4110
1114,1056305,102,4107
1115,7016125,109,4125
1116,4030153,106,4111
1117,1028079,102,4107
1118,2031002,104,4107
1120,2025261,102,4107
1121,6012085,110,4125
1122,7025190,102,4107
1123,7005181,113,4114
1125,2003299,117,4124
1126,1065238,102,4107
1127,2027197,116,5305
1128,6037122,106,5506
1129,1060281,106,4111
1130,1065022,110,5217
1131,6051035,106,5225
1132,1070115,106,4111
1133,5050093,109,4125
1134,6023055,110,4125
1135,6066040,105,4110
1137,1025093,110,5217
1139,6026051,110,4125
1140,6034038,105,4110
1141,2037178,110,4125
1143,1032094,102,4109
1144,1043179,102,4107
1145,6024066,106,5225
1147,1046173,110,5217
1150,5037153,102,4107
1151,7008082,109,4125
1154,2002016,105,4110
1155,1057169,109,4125
1156,4009140,113,4114
1157,1072157,113,4114
1159,4012426,111,4110
1159,7004120,115,4110
1162,2002145,109,4125
1166,7006207,109,4125
1167,3023144,109,4125
1168,1069187,104,4117
1169,1010101,110,4125
1170,4015198,109,4125
1171,6047117,102,5229
1172,1046169,102,4101
1173,6022030,105,4110
1178,1047125,102,5229
1178,6036101,110,5217
1180,7024001,109,4125
1181,1013052,102,4107
1183,1006191,110,5217
1186,1062215,106,4111
1187,6002056,113,4114
1189,2029151,102,4107
1190,1060153,106,4111
1191,2020271,109,4125
1191,1019116,109,4125
1193,6051041,105,4110
1194,1071013,110,5217
1195,1035118,110,4125
1196,4010040,106,5225
1197,1027321,102,4107
1198,7021063,104,4107
1200,4008102,113,4114
1201,2008109,105,4110
1202,1064058,117,4114
1203,6070060,110,5217
1204,1029080,102,4107
1205,6097127,110,4125
1206,4011105,106,5506
1207,2037323,102,5229
1208,4016253,113,4111
1209,1069042,105,4110
1211,5003088,106,5225
1212,1053127,110,5217
1213,3008058,109,4125
1214,2037016,111,4110
1215,6016197,106,5506
1216,3013157,106,5506
1217,1028159,102,4107
1219,7018083,109,4125
1221,1060183,105,4110
1222,6048155,110,4125
1223,4002134,106,5506
1224,2003277,113,4114
1226,3003152,106,4125
1227,7030287,104,4136
1230,6044158,106,5506
1231,2026011,106,5506
1232,1063309,113,4114
1233,7008231,117,4124
1234,5039137,106,4125
1235,3020080,106,4125
1236,1002123,110,4125
1238,7016029,115,4110
1239,7030128,109,4125
1241,4009191,102,4107
1242,1072167,117,4124
1243,6049163,105,4110
1245,1061127,113,4114
1246,6037163,110,4125
1247,6033223,113,4114
1248,1019151,102,4107
1249,6029032,113,4114
1250,2045228,104,4107
1251,7011185,117,4124
1254,3016059,109,4125
1255,1052170,102,4101
1256,6080048,106,4125
1258,7036188,113,4114
1259,2027368,106,5506
1260,1068071,106,5225
1261,6028252,102,4107
1262,1059258,102,4107
1263,7008085,109,4125
1264,1044115,102,4107
1266,1069006,106,5506
1267,1029271,105,4110
1269,5059192,106,5225
1270,5055089,106,5506
1271,4005321,113,4114
1273,7009108,102,4107
1274,1051118,106,4125
1277,6011081,106,5225
1278,6005002,106,5225
1279,6044098,105,4110
1280,1043353,105,4110
1282,1044127,102,4107
1283,5014163,106,5506
1284,4007085,113,4111
1286,2007084,113,4114
1287,6020099,113,4114
1288,6106012,106,5222
1291,6104022,106,4125
1292,2042303,106,5225
1293,6021055,110,5233
1294,2030077,104,4107
1295,5054092,106,4125
1295,2031117,109,4125
1297,6102051,110,5233
1298,4039176,109,4125
1299,1006227,111,4110
1300,2050306,113,4114
1302,7011090,104,4107
1303,7021299,109,4125
1304,6046229,105,4110
1306,1070004,106,5506
1308,7021194,106,5506
1309,1055072,102,4107
1310,2015053,105,4110
1312,4033151,109,4125
1313,1003146,102,4107
1315,1063086,102,4107
1317,6048137,109,4125
1318,1071130,102,4109
1319,1009034,109,4125
1320,3019131,106,5225
1321,2045216,105,4110
1322,3026112,106,4125
1323,6064079,105,4110
1324,7021132,102,4101
1325,6061020,109,4125
1326,1069293,109,4125
1327,7029191,106,5506
1329,7021366,113,4114
1333,2042228,113,4114
1334,2039148,116,5305
1335,7015139,113,4114
1336,4007242,102,4107
1337,1055071,109,4125
1338,4017062,109,4125
1339,1015069,102,4107
1340,6072012,106,5506
1341,2005265,106,4125
1342,2021124,104,4107
1343,7001222,115,4110
1344,4014123,105,4110
1345,6039184,105,4110
1349,6044222,117,4114
1350,4027236,109,4125
1351,7021128,102,4101
1352,1072196,109,4125
1353,1069279,106,5506
1354,4029132,106,5506
1356,1056343,105,4110
1360,1002102,102,4107
1361,4041143,105,4110
1362,1074162,102,4107
1364,6033261,110,5227
1365,7032073,113,4111
1366,1022007,105,4110
1369,1006013,106,5506
1370,1066144,102,4107
1371,1023093,109,4125
1372,2049147,109,4125
1373,5040232,106,5506
1374,1043329,102,5226
1376,1064088,109,4125
1377,6031139,105,4110
1379,4008207,113,4114
1380,6026018,110,4117
1381,4007097,106,4125
1383,6032095,106,4125
1384,3017077,106,5506
1386,5057187,106,5506
1387,4013262,113,4114
1388,2038257,102,4107
1390,6047201,106,5222
1392,1014108,102,4107
1393,6021132,107,4111
1394,4027264,109,4125
1395,1001140,111,4110
1396,1028097,102,4101
1397,2049192,102,4107
1399,3023090,117,4114
1401,7017255,104,4107
1403,7025064,106,4125
1404,1085046,110,4117
1405,5049140,106,4125
1407,1047078,110,5233
1409,3008054,106,5222
1410,1026059,102,4107
1411,1065133,102,4107
1411,1027277,105,4110
1413,6057073,116,5305
1414,5017183,106,5222
1415,1084009,102,4107
1416,6100147,102,4101
1417,1004362,106,4125
1418,1063148,113,4114
1419,5010011,106,4125
1420,6040120,107,4111
1421,1022200,102,4109
1422,2009308,104,4107
1423,3040141,113,4114
1424,7015084,106,4125
1426,1038124,106,4125
1427,6043167,106,4125
1428,1045225,106,5222
1429,6046136,116,5305
1430,6051097,107,4125
1431,6086003,110,5233
1432,1068080,102,4107
1436,5058090,106,5222
1438,1087027,113,4111
1439,1064022,102,4107
1440,2016142,113,4114
1441,1025217,113,4114
1447,4043117,116,5305
1448,5028252,102,4107
1449,2005174,116,5305
1450,2051153,102,4107
1451,4027221,106,4125
1452,7014206,113,4111
1453,6001133,107,4111
1454,6051230,107,4111
1455,2004449,106,4125
1456,6036029,102,4109
1457,1007335,111,4110
1458,3016187,102,4107
1459,5014172,116,5305
1460,6011108,107,4111
1461,6020147,116,5305
1463,6021081,116,5305
1464,2038161,116,5305
1465,4003048,102,4107
1467,6015103,106,5222
1468,6101153,102,4107
1471,1050254,117,4116
1472,4038261,106,4125
1473,4003213,106,5222
1474,7011133,115,4110
1475,5047101,106,4125
1476,2022161,111,4110
1477,2003123,117,4114
1478,4031191,115,4110
1479,4009174,102,4107
1480,2031136,117,4114
1481,1071155,113,4111
1483,7016093,115,4110
1485,5049271,106,4125
1488,1066158,104,4107
