Rank,RollNo,InstituteCode,BranchCode
951,7003136,104,4125
952,2059087,117,4124
953,2080140,116,5216
954,2036158,104,4125
955,2058189,105,4110
956,1094096,111,4110
959,1093089,106,4111
960,5008111,117,4124
962,4012113,116,5216
963,1054086,105,4110
964,2042116,102,4107
965,2009087,106,5506
966,4003179,110,5217
968,2064121,105,4110
969,1035114,110,5217
970,2047105,104,4125
971,2032348,106,4111
972,7031215,104,4125
973,2059207,106,4111
974,7038178,113,4114
975,5042188,102,4117
976,6116130,105,4110
977,2050148,116,5216
978,2003187,113,4114
979,6075098,104,4125
980,6074163,110,4125
981,6122074,102,4117
982,2075075,106,5506
983,2029095,106,4111
986,1088097,111,4110
988,2092349,117,4124
989,2043139,105,4110
990,4020247,102,4107
992,4048207,104,4125
993,1022157,102,4117
994,4016110,117,4124
995,6117013,106,5216
996,5053172,117,4124
997,4001177,113,4114
998,7045217,105,4110
999,4045060,112,4110
1000,6100122,106,5225
1002,2014019,117,4110
1003,4008294,104,4125
1005,1006033,117,4110
1006,4005083,102,4107
1008,1090264,110,4117
1009,4008079,117,4124
1010,1061070,102,4128
1011,7016021,104,4111
1012,6079109,110,4125
1013,2044105,117,4124
1014,5009087,110,4125
1015,2075168,113,4114
1016,2016166,117,4124
1017,4053156,113,4114
1018,6115089,106,5506
1019,1082094,102,5235
1020,1009138,104,4125
1021,2016082,104,4125
1022,2040075,102,4107
1023,2065177,117,4124
1024,1032144,110,5217
1025,2070156,104,4125
1026,3005221,117,4124
1027,7005109,113,4114
1028,2032397,106,4111
1029,7031329,102,5235
1030,6063212,110,4125
1033,1021146,102,4107
1036,6098096,107,4124
1037,6034098,113,4114
1038,7014235,113,4114
1039,4026028,117,4124
1040,1089108,102,4101
1041,2021066,105,4110
1044,4055150,109,4125
1045,4015169,105,4110
1047,5014105,110,4125
1048,7037162,106,5506
1049,6104023,110,4111
1050,2049128,106,5225
1051,7044303,116,5216
1052,4005116,106,4111
1053,6096115,106,4111
1054,1061208,102,5235
1055,2008263,105,4110
1056,6118178,105,4110
1058,2023054,105,4110
1059,2007226,109,4125
1061,6118151,102,4101
1062,2051061,113,4114
1063,6025169,117,4114
1064,6127207,113,4114
1065,1087057,102,4101
1066,2058115,106,5506
1067,4039044,106,4111
1069,1020145,109,4125
1071,5015088,106,5506
1072,1092103,102,5235
1073,6037187,102,4101
1074,1023197,110,4117
1075,1057133,102,4107
1076,1004073,106,4111
1078,6031122,105,4110
1079,1010116,111,4110
1081,6098130,110,4125
1082,2058053,102,4206
1084,1018062,110,4125
1085,7001195,113,4114
1086,2053184,106,4111
1087,2087113,106,4111
1088,1063033,104,5254
1089,2021287,107,4124
1090,7022129,113,4114
1091,6034129,106,4111
1092,1061103,102,5235
1093,5053151,106,4111
1094,1059148,102,4107
1095,1037080,110,4125
1098,2008441,106,4111
1099,6108072,105,4110
1101,7016189,106,4111
1107,6092164,110,4125
1108,1060081,102,4107
1109,2076187,105,4110
1110,1057146,102,5235
1112,4016195,102,4107
1113,1097104,105,4110
1114,1057313,102,5235
1115,2035253,117,4116
1116,1031104,110,4125
1117,2078054,117,4114
1118,1089075,102,5235
1119,7016228,104,4109
1120,5045182,106,5225
1121,4069026,113,4114
1123,1063025,117,4110
1124,7016296,113,4111
1125,6097088,113,4114
1126,7013203,102,4107
1127,6009034,105,4110
1128,1091108,102,5235
1131,6048055,110,4125
1132,1014006,104,5254
1134,7015172,113,4114
1135,2038008,104,4111
1136,4004111,116,5254
1137,6079111,110,4125
1138,2063109,109,4125
1140,6043057,110,4125
1141,2013111,104,4107
1143,6079008,110,4111
1144,4006212,106,5506
1146,6032245,107,4111
1147,2068019,117,4110
1148,2029072,102,4107
1150,7008091,113,4114
1151,4037023,113,4111
1152,2040055,113,4114
1155,2009210,106,5225
1156,1060210,113,4114
1157,1005186,102,4101
1158,7018236,102,4107
1160,4006131,113,4114
1161,6090182,110,4125
1163,6073144,110,4125
1165,2061147,113,4114
1166,6104018,104,4111
1168,2003094,113,4114
1170,1077187,105,4110
1171,1088052,110,4117
1172,7036061,113,4114
1173,2013120,109,4125
1174,2075093,109,4125
1175,2063082,113,4114
1176,4006148,106,5506
1177,2025207,113,4114
1178,6052049,106,5225
1179,2015078,102,4107
1181,3043034,106,5506
1182,2060262,105,4110
1183,2017133,113,4114
1184,7028087,106,5506
1186,6121081,110,4125
1187,1051080,107,4111
1188,1002026,106,5506
1189,5045155,106,5225
1190,4048112,109,4125
1193,4010240,116,5254
1195,4012088,113,4114
1196,2008017,113,4114
1198,1006114,110,4125
1199,2038088,113,4114
1200,7014328,113,4114
1202,4008109,102,4107
1203,4005016,117,4110
1205,2079058,106,5222
1206,6008018,110,5217
1207,5028051,106,4125
1208,3037045,106,5506
1209,5043086,104,4109
1210,6113121,106,5506
1211,3036158,106,5506
1212,3046090,106,5506
1213,4009060,117,4110
1214,1079127,111,4110
1215,1005106,110,4125
1216,2005112,104,4107
1217,1037072,110,4117
1218,7013267,109,4125
1219,7004141,106,5506
1220,2032158,113,4111
1221,1012066,107,4111
1224,2016111,104,4107
1226,4056047,113,4111
1227,1052061,102,4107
1228,2025221,113,4114
1231,1089068,110,4125
1232,2043107,109,4125
1234,7045360,113,4114
1235,2043178,106,5506
1236,7022115,104,4117
1237,4001300,106,5225
1238,2051438,102,4101
1239,7019050,109,4125
1240,4018197,113,4114
1242,1084125,102,4107
1243,5020083,106,5222
1244,1059197,105,4110
1245,2069211,104,4109
1246,2056258,113,4114
1247,6036055,107,4110
1248,1003052,106,5506
1249,4018240,106,5506
1251,2074062,105,4110
1252,1003010,102,5221
1253,6068046,111,4110
1254,2037116,106,5506
1256,2004036,117,4110
1258,1061097,110,4125
1259,1060333,106,5506
1260,2040067,102,4107
1261,4010101,106,5506
1264,2085283,105,4110
1265,2075153,106,5225
1266,2033161,113,4114
1267,1021052,116,5254
1268,2067132,106,5225
1269,2090130,104,4107
1270,6031189,110,4101
1271,6091115,106,5225
1273,2063150,117,4114
1274,7045109,117,4114
1275,7021226,102,4107
1277,7043208,109,4125
1278,1075154,106,4125
1279,6036127,117,4114
1281,1032122,110,4125
1282,7042148,106,5225
1284,1022172,117,4114
1285,2045047,117,4114
1286,7023166,110,4125
1287,1021080,110,4125
1288,1015181,109,4125
1289,1090098,110,4125
1290,4047057,109,4204
1291,6115017,107,4110
1292,1027121,117,4114
1293,2078122,111,4110
1294,2017134,116,5254
1295,2022011,104,4112
1297,2068064,104,4109
1298,2090138,102,4107
1299,1031016,109,4111
1300,6033167,106,5225
1301,6036136,106,5225
1302,1082230,102,4101
1303,1083071,110,4125
1304,1029089,110,4125
1306,2066149,102,4107
1307,6025312,110,4125
1308,5003309,110,4125
1310,7014247,113,4111
1311,6036115,102,4101
1312,6105077,106,5225
1313,2028073,109,4125
1314,2028067,110,4125
1315,6110135,115,4110
1316,1037089,109,4125
1317,1071219,109,4125
1318,6128080,106,5225
1319,7032197,113,4111
1321,4019144,106,5225
1322,2044056,102,4107
1323,1032114,106,4125
1324,2008312,115,4110
1325,1018177,110,4125
1326,1029078,110,4117
1327,1017207,102,4107
1328,7045060,102,4202
1329,5040157,106,4125
1330,4047090,113,4111
1331,7026071,109,4125
1332,4018062,102,5221
1333,6109128,110,4125
1334,4011075,113,4111
1335,2013224,117,4114
1336,2023141,117,4114
1337,2092423,117,4114
1338,2077100,102,4107
1339,7038085,109,4125
1341,2012087,113,4111
1343,2063057,106,5222
1344,1072084,106,4125
1345,5042168,106,4125
1346,2005127,109,4125
1347,2045092,109,4125
1348,7018205,113,4111
1349,7013022,102,5219
1350,4020294,104,4107
1351,6112069,117,4114
