RANK,ROLL No,Inst Code,Branch Code
987,7020031,105,4110
988,2012300,105,4110
989,4014057,104,4124
990,6137095,102,4125
991,7026057,116,5254
992,7016084,113,4114
993,4039055,116,4110
994,1004119,109,4111
995,4012111,117,4124
996,2039078,105,4110
997,5047045,106,4111
998,2069172,102,4125
999,1088276,102,4125
1000,5030144,110,4125
1001,1045109,104,4125
1002,2019205,117,4124
1003,5007146,113,4114
1004,6126174,110,4125
1005,7005141,105,4110
1006,6148184,106,4110
1007,6100163,110,4110
1008,2071051,106,4111
1009,1077147,105,4110
1010,5003285,102,4111
1011,7019206,105,4110
1012,4015320,116,4110
1013,2061211,109,4110
1014,2072056,109,4111
1015,2087001,102,4111
1016,6140097,102,5226
1017,4016295,105,4110
1018,2007048,104,4117
1019,6130095,110,4125
1020,6051205,105,4110
1021,2066012,102,4110
1022,2041158,117,4124
1023,1052216,102,5217
1024,1052194,117,4124
1025,2055108,117,4124
1026,6141038,107,4110
1027,1089077,104,4125
1028,7029045,104,4125
1029,3024135,106,4110
1030,5038238,106,4111
1031,6105108,102,4107
1032,7020117,102,4107
1033,6041104,110,4110
1034,2067156,113,4114
1035,2007008,104,5254
1036,6133167,106,4110
1037,6115233,109,4110
1038,2031133,117,4124
1039,2056121,109,4110
1040,2066008,102,4110
1041,2014033,102,4206
1042,6060069,109,4110
1043,6081161,110,4125
1045,2034080,113,4114
1046,4005198,106,4111
1047,4015230,105,4110
1048,7017291,113,4114
1049,2025112,109,4203
1050,2086110,104,4125
1051,2041049,104,4125
1052,1055099,102,4111
1053,5028095,106,5225
1055,5032057,106,4111
1056,2032008,104,4110
1057,5053060,106,4111
1058,5030036,102,4111
1059,7015235,109,4203
1060,4013279,106,5506
1061,2022012,104,4111
1062,1077087,109,4204
1063,2039051,117,4124
1064,5017135,104,4125
1065,4008214,102,4117
1066,6047227,102,4111
1067,4033123,105,4110
1068,4045285,109,4110
1069,1051131,117,4124
1071,7006151,102,4206
1072,5066103,106,5225
1073,2081233,113,4114
1074,5051058,106,4111
1075,4011105,109,4111
1076,6138051,113,4110
1077,2026309,113,4114
1078,2063069,106,5225
1079,1053206,113,4114
1080,6119185,110,4111
1081,7020036,113,4114
1082,6073095,115,4110
1084,2030008,104,4110
1085,2027158,117,4124
1086,1054274,106,4111
1087,2074005,102,4117
1088,4009267,113,4114
1089,6045289,106,4111
1090,6064107,104,4125
1091,6020382,110,4111
1092,1025130,113,4114
1093,4030213,109,4110
1094,5002252,109,4110
1095,7022271,113,4114
1096,6043057,104,4110
1097,1054101,102,5235
1098,4012188,113,4114
1100,2084114,104,4110
1101,6097105,110,4125
1102,2072099,113,4114
1103,7042166,104,4125
1104,6118174,113,4114
1105,6147223,107,4185
1106,7006177,104,4111
1107,6084011,110,4111
1108,7018362,115,4110
1109,2018034,113,4114
1110,1004107,111,4110
1111,6133134,116,4110
1113,4044085,113,4114
1114,2084257,109,4110
1115,6047307,106,4111
1116,6123177,106,5506
1117,2087280,106,5506
1118,6134136,107,4110
1119,2019066,113,4114
1120,2074050,104,4125
1121,2012612,104,4109
1122,3031075,113,4110
1123,5028244,106,5506
1124,7030062,113,4114
1125,5032138,106,4111
1126,7027053,104,4125
1127,4044121,112,4110
1128,7032060,106,5506
1129,1081100,104,5216
1130,5010075,117,4110
1131,6030524,106,4115
1132,2007293,116,5254
1133,6082091,102,4117
1134,2018032,116,5254
1135,1014190,113,4110
1136,6148242,110,4125
