Rank,RollNo,InsituteCode,CourseCode
1055,1003124,110,4125
1056,6021257,106,5506
1058,6078268,117,4124
1059,7028073,106,4111
1061,1055198,110,5217
1062,1018099,106,5225
1063,1056345,117,4124
1064,6028233,110,4125
1065,7022026,106,4111
1066,7002204,115,4110
1067,5052128,106,4111
1068,7038261,106,4111
1069,2021065,113,4114
1071,1028236,110,4125
1073,6100225,110,5217
1074,2058140,102,4117
1075,4044173,109,4125
1077,6056102,106,5506
1078,5060056,106,5225
1079,1069245,117,4124
1080,6021190,110,4125
1082,7003211,106,4111
1083,7036004,106,5225
1084,2027405,117,4124
1085,7009193,117,4124
1085,6105337,117,4124
1087,1065197,117,4124
1089,6092326,110,5217
1090,6013140,106,4111
1092,7016070,113,4114
1095,6072010,110,5217
1096,4002237,109,4125
1099,7039240,113,4111
1100,1003183,111,4110
1101,7016209,113,4114
1102,6021277,106,5506
1103,2049072,113,4111
1104,4052042,109,4204
1105,6002045,106,4111
1106,7035176,109,4125
1107,2008445,116,5216
1108,7035316,105,4110
1109,5060113,106,4111
1110,1038209,110,4125
1111,7021159,113,4114
1112,6014228,106,4111
1113,1058041,102,4107
1115,1032025,102,4117
1116,4011304,109,4125
1116,4053215,116,5216
1118,1021068,110,4125
1119,6094270,113,4114
1120,6094125,110,4125
1122,5030305,106,5506
1123,6102056,110,4125
1124,6020009,117,4124
1126,6035248,110,4125
1127,1066024,106,4111
1127,5010176,106,4125
1131,7020253,109,4125
1131,6073046,110,4125
1133,3019023,106,5506
1134,7002126,117,4124
1135,6089039,106,4111
1137,7028284,113,4114
1138,1075266,109,4125
1139,6101055,110,4125
1140,2033194,109,4125
1142,2007160,117,4124
1144,5015059,106,5225
1145,4028370,106,5225
1148,2029246,113,4114
1150,6012262,106,4111
1151,2005107,102,4117
1154,5003165,110,4125
1156,2043142,102,4109
1158,6048232,110,4125
1160,6091301,117,4124
1161,6091274,106,5225
1161,6119319,110,4117
1163,1027015,110,4125
1164,1067342,110,4125
1166,2001476,115,4110
1167,1021183,102,4117
1168,1067020,105,4110
1169,7015009,117,4124
1170,1066037,106,4111
1170,1027113,110,4125
1173,2028202,109,4125
1174,6094054,106,4111
1176,6094047,110,4125
1177,1070145,109,4125
1178,6095248,110,4125
1179,1021262,105,4110
1180,4001020,117,4124
1181,7014074,117,4124
1182,5059175,102,4117
1183,1070363,113,4114
1184,5023170,106,5506
1185,1033083,102,4117
1188,4011159,102,4107
1190,7038328,106,5225
1191,7004087,113,4111
1192,1068315,105,4110
1194,7028079,109,4125
1195,1067174,102,4107
1197,6060298,110,4125
1199,2006038,109,4125
1200,1027216,102,4107
1201,5055035,109,4125
1202,1069074,117,4124
1203,1070183,106,5222
1204,2033263,109,4125
1205,7028244,109,4125
1206,6019329,117,4124
1207,6101242,117,4124
1208,2067140,113,4114
1210,2040241,113,4114
1211,2050068,106,5506
1212,1071118,106,5506
1213,1065200,106,5225
1214,1032077,110,4125
1216,1032299,110,4125
1217,1070013,102,4107
1218,5040205,109,4125
1220,2025231,113,4114
1221,5038130,109,4125
1222,6071042,110,4125
1223,5021169,102,4117
1224,3021143,106,5506
1225,2068001,105,4110
1226,1018257,102,4107
1227,2017147,106,5506
1230,7001063,104,4107
1232,2021300,106,5225
1234,6013335,113,4114
1235,5008042,106,5225
1236,7025071,109,4125
1237,7016047,113,4114
1239,7032155,109,4125
1240,7029253,113,4114
1241,7016101,113,4114
1242,2025247,105,4110
1243,7021194,106,5225
1244,2007284,104,4117
1247,1005208,109,4125
1248,5049352,106,4125
1249,1029261,110,5233
1251,2017264,106,5225
1254,1056439,102,4107
1255,7006016,113,4114
1257,1035133,102,4107
1258,2005476,109,4125
1259,1015072,109,4125
1260,2043108,106,5506
1261,7001165,102,4107
1262,1069347,105,4110
1263,2033302,102,4109
1264,1002149,109,4125
1265,6013301,106,4125
1267,5059022,102,4101
1268,4009122,102,4107
1269,4011157,105,4110
1269,5012157,106,5506
1271,2053302,109,4125
1273,7009090,105,4110
1274,1002348,109,4125
1275,1066357,106,5506
1276,1030001,102,4107
1277,2047182,109,4125
1278,4011149,102,4109
1278,1029304,109,4125
1281,7037042,116,5254
1284,1027197,102,4107
1288,7021111,106,5225
1289,3018167,109,4125
1290,1067209,102,4107
1291,2060037,113,4111
1293,4034179,104,4117
1294,1002311,102,5226
1296,1006068,113,4114
1297,2067352,113,4111
1298,2011368,105,4110
1299,3015154,106,4125
1300,5023122,106,5225
1301,1068100,113,4114
1302,7016109,106,5506
