Rank,RollNo,Institute Code,Branch Code
1354,7027010,106,5216
1355,4078007,106,4111
1356,6104017,110,4125
1358,1023268,111,4110
1362,2024078,104,4192
1363,7032351,104,4111
1365,7012108,117,4114
1366,7032530,117,4114
1367,6223189,110,4117
1368,1003192,111,4110
1369,1038152,106,4111
1370,2107067,107,4110
1371,4074053,113,4111
1373,1037015,102,4107
1374,2093088,111,4110
1375,7037034,117,4114
1376,3089140,106,5506
1377,4073191,109,4125
1378,2039069,106,5216
1379,5092014,106,4125
1380,6002039,117,4114
1381,3037349,106,5225
1382,5050142,107,4110
1383,3075049,106,5225
1384,2076244,102,4107
1386,5068140,102,4101
1388,2090228,116,5254
1389,1034056,106,4111
1390,5077059,106,4111
1391,7076184,116,5254
1392,1101210,111,4110
1393,5098071,104,4125
1395,7035152,104,4117
1396,7004075,116,5254
1397,1117215,106,5225
1398,1104081,111,4110
1399,6213010,117,4114
1400,2029185,116,4113
1401,4093085,113,4111
1403,7024085,102,5217
1405,1043181,110,4117
1406,5082255,106,5225
1408,2005175,104,4125
1409,6123117,102,4107
1410,7039320,102,5235
1411,2102023,106,5506
1412,2045089,104,4111
1413,1004446,106,5506
1414,4023515,106,5506
1415,4002264,113,4111
1419,1023146,111,4110
1421,7041006,104,4125
1422,7004086,117,4110
1423,7028001,106,5506
1424,2018330,104,4117
1425,7037110,117,4114
1426,1123018,106,4111
1427,4015288,102,5217
1429,1101168,117,4110
1430,7058025,104,4125
1431,6188188,106,4111
1432,6219091,106,5225
1434,2023182,117,4114
1435,2054417,104,4125
1440,2039203,113,4111
1441,5010115,117,4110
1442,6188032,108,4110
1443,5035164,106,4111
1444,1002004,102,4107
1445,4082080,113,4111
1448,1023154,111,4110
1449,2039091,113,4111
1450,2095056,117,4110
1451,2110198,106,5506
1452,2044019,117,4114
1453,2027039,104,4125
1454,2080024,104,4125
1456,1023252,116,5254
1458,2055766,109,4202
1459,2059044,106,4111
1464,1104038,104,4125
1465,2078331,106,4111
1468,7059078,106,4111
1469,1082032,106,5225
1472,7014091,115,4110
1473,1157077,117,4114
1476,3029097,110,4111
1478,6016220,106,5225
1479,2100507,106,4111
1480,6164033,110,4125
1481,6123045,117,4114
1482,3062051,113,4111
1484,1105080,102,4101
1486,1059346,113,4111
1487,2077185,102,5235
1489,2026054,116,5254
1490,1012002,107,4111
1491,2030056,115,4110
1493,1049076,107,4111
1495,1102508,102,4101
1496,7028066,104,4107
1498,1178125,102,4109
1499,4002054,102,5235
1502,6131073,102,5235
1503,2019081,117,4110
1504,4001303,104,4117
1505,2054674,104,4107
1506,6004065,117,4114
1507,5014004,106,5225
1510,7001090,117,4110
1511,2018145,106,4111
1513,1178064,102,4101
1515,6202261,117,4110
1516,4031172,106,5225
1518,6107063,117,4114
1519,7080060,104,4112
1521,5090220,117,4114
1523,6158277,110,4117
1524,6158321,110,4117
1525,5018017,101,4110
1526,2016066,101,4110
1527,2001144,109,4125
1528,3036019,104,4117
1530,1004182,115,4110
1533,4028038,113,4111
1534,6129082,110,4125
1536,7082052,102,4107
1537,6114012,110,4117
1539,1084094,102,4202
1540,6163035,110,4117
1543,7007063,113,4111
1544,1104190,116,5254
1545,2078421,116,5254
1546,1151071,106,4111
1547,6224042,102,4107
1548,1159194,110,4117
1550,1049094,110,4125
1551,5090187,106,4111
1552,2092025,117,4114
1553,5082019,109,4125
1554,6208185,110,4111
1555,7010020,109,4125
1556,4047085,106,4111
1558,1023140,102,4101
1562,6072082,107,4185
1564,2048011,116,5254
1565,6188211,107,4185
1566,7026350,102,5226
1567,5075138,102,4206
1568,2056037,109,4111
1569,3061086,106,4115
1570,2065013,116,5254
1571,2026026,102,5235
1572,2024001,102,4107
1575,5050270,117,4114
1577,7032588,115,4110
1578,1114014,102,4107
1579,4097149,109,4125
1580,2017079,113,4111
1581,1104259,102,5217
1583,4002035,113,4111
1584,2029176,113,4111
1586,2119039,107,4111
1587,2041080,113,4111
1588,7051006,102,4101
1589,6158197,110,4117
1593,4098073,109,4125
1594,1031091,116,5254
1595,1116036,102,4107
1596,1157122,102,4107
1599,7014178,115,4110
1600,7062007,113,4111
1604,7083158,106,4111
1608,4033044,117,4114
1610,6068025,117,4114
1612,7057037,104,4107
1613,7005094,102,4107
1614,2105095,113,4111
1615,6098398,107,4111
1616,6269011,110,4111
1618,3043048,117,4114
1619,2010021,104,4107
1620,2009239,116,5254
1621,2054361,102,4101
1622,5027314,106,4111
1623,1047041,107,4111
1624,4006059,102,5235
1625,1023296,117,4114
1626,1151091,102,4107
1627,2055518,104,4107
1628,6159201,102,4107
1631,7032090,104,4107
1633,2055135,102,4107
1634,6165067,110,4125
