Rank ,RollNo,InstituteCode,CourseCode
654,5002218,102,4125
655,6033303,110,4125
656,6034295,109,4111
657,6004145,117,4110
658,7002299,117,4110
659,1042270,104,4125
660,1043410,104,4125
661,6050210,109,4111
662,1015319,102,5235
663,5014012,109,4111
664,1047079,116,4110
665,6005185,117,4110
666,7020101,109,4111
667,6006213,109,4111
668,1022239,107,4110
669,2001082,104,4125
672,7027088,107,4110
673,6007235,102,4107
674,2033231,109,4111
675,1046247,104,4125
676,6081216,102,4117
677,4031342,104,4125
678,7014038,102,4117
679,1024020,116,4110
680,6038053,117,4110
681,1045436,117,4110
682,6033067,106,4115
683,6017251,110,4125
684,1022352,102,4107
685,7002273,117,4110
686,1043188,117,4110
687,6007051,106,4111
688,6003128,107,4110
689,1056354,116,4110
690,1024120,102,5235
692,7024169,117,4110
693,1046407,104,4125
694,2017319,104,4125
695,5025132,106,4115
696,6007207,106,4115
697,7008038,106,4111
699,5038140,106,4111
700,6005196,102,5235
702,3007024,117,4110
703,2017286,104,4125
705,5033116,106,4115
707,6075229,110,4125
709,3013196,104,4125
710,1043219,110,5217
711,4001080,104,4125
712,2012273,117,4110
713,2019014,106,4115
714,6075162,110,4125
715,2023314,104,4125
716,2006121,104,4112
718,2039169,104,4112
719,1007013,117,4110
720,4024317,104,4125
721,1022326,104,4125
722,2029101,104,4125
723,6034148,110,4125
725,6004182,102,4117
726,1046104,104,4125
727,6080108,110,4125
728,4011001,116,4110
729,2034137,102,5235
730,2032080,104,4125
731,1044117,116,4110
732,1040106,102,5235
733,5017180,104,4112
734,6080005,110,4125
735,6022021,106,4115
736,6007175,106,4115
738,1023400,102,4107
739,4024094,104,4112
740,5011023,116,4110
741,1043015,116,4110
742,1054438,117,4110
743,2026088,104,4125
744,4006032,116,4110
745,6063236,106,4115
746,4033017,104,4125
747,6034145,117,4110
749,1016298,102,5235
750,4002119,116,4110
751,7004234,117,4110
752,2014014,117,4110
753,1016407,102,5235
754,1043059,109,4204
755,3002046,117,4110
756,4006194,102,4107
757,6023188,106,4115
758,2007093,104,4112
759,6007153,106,4111
760,2026030,117,4110
761,6003221,106,4111
762,7011029,104,4125
763,1032006,104,4125
764,4012266,117,4110
766,5011072,116,4110
767,1044058,104,4112
770,6003074,110,5217
771,2007175,104,4125
772,6033072,106,4115
773,7001228,104,4125
774,4002075,104,4125
775,2008366,104,4125
776,7027065,104,4112
777,2013295,116,4110
778,5038048,104,4125
779,6086034,110,5217
780,6004151,117,4110
781,4024018,104,4112
782,1031241,102,5235
784,6063222,110,4125
785,6034118,106,4115
786,1031195,109,4125
787,1031306,117,4110
788,4006048,116,4110
789,1045091,117,4110
790,1022166,102,4109
791,6034068,106,4115
792,2046007,116,4110
793,6003262,106,4115
794,2035068,117,4110
795,5002138,106,4115
796,1042238,104,4112
797,4022086,117,4110
798,2013017,104,4112
799,7004107,117,4110
800,1043291,117,4110
803,1031168,104,4112
804,6043168,110,5217
806,6004026,117,4110
807,2018198,102,5235
809,7008005,117,4110
811,4006295,109,4125
812,6023004,106,4115
814,1013074,107,4110
815,2033212,117,4110
818,1042151,102,5235
819,6063110,106,4115
820,4019053,109,4125
821,1042023,109,4125
823,1045139,116,4110
824,1042227,109,4203
825,2002130,104,4112
827,2012336,106,4115
828,6023062,107,4110
830,6037184,106,4115
831,4002084,116,4110
832,1043294,110,4125
833,1017059,102,5235
834,2046068,104,4112
835,2023165,116,4110
837,6005215,106,4111
838,7023088,104,4112
839,1032150,102,4101
840,4022078,109,4125
841,7027421,116,4110
842,2007277,104,4117
843,4004321,107,4110
844,2049096,109,4203
845,7001386,102,4101
847,1050450,110,4125
848,2046051,117,4124
850,4006079,116,4110
851,1045313,116,4110
852,1056074,104,4112
854,4025153,104,4112
855,1024246,107,4110
856,1034001,102,4107
857,1031127,110,4125
859,6005008,106,4115
860,7005061,116,4110
861,5002037,107,4110
862,5018158,106,4115
863,2051030,116,4110
864,1043423,109,4125
865,1013285,109,4125
866,2034136,104,4136
868,1017070,102,4107
869,1032018,116,4110
870,2031216,116,4110
871,1047061,116,4110
872,4032212,104,4112
873,6006249,102,4107
874,7015077,104,4112
875,6080273,110,5217
876,6001050,110,5217
877,1040212,116,4110
878,6004054,110,4125
879,1001052,116,4110
880,7001240,109,4125
882,1042027,116,4110
883,1020389,102,4107
884,6038061,106,4111
886,1040147,113,4114
888,6069071,110,4125
889,6034124,106,4111
890,1043201,106,4111
891,6024179,107,4110
893,1022102,102,4107
894,2049064,113,4114
896,2023019,113,4114
897,6007107,106,4111
898,1064061,102,4107
899,2029082,102,4107
900,1042033,109,4125
902,6005198,106,4111
903,5011036,109,4125
904,4031067,102,4107
905,7026021,116,5216
906,1064011,117,4124
907,5018152,109,4125
908,2046072,106,4125
909,1054385,106,4111
910,2001260,116,5216
911,6046297,109,4203
912,2046202,109,4125
913,4006011,116,5216
914,6063015,102,4117
916,4006044,109,4125
917,1009217,117,4124
918,1046186,109,4125
920,1043166,116,5216
922,1024258,107,4110
923,5014097,104,4117
924,3007046,109,4125
925,7006009,109,4125
926,2026185,113,4114
927,1045120,109,4125
928,4001209,106,4111
929,1022244,102,4107
930,7015075,102,4107
932,2018172,116,5216
933,6002095,107,4110
934,1031141,109,4203
935,6005116,102,4101
936,1016221,102,4107
937,7008344,106,4111
938,5002251,106,4111
939,1022282,102,4107
940,2007118,109,4125
941,1043268,102,4109
942,1017026,102,4107
943,4001068,102,4117
944,1031319,102,4117
945,7006048,102,4107
947,2034202,107,4110
948,1024090,106,4125
949,6036072,110,5217
951,6038065,110,4125
952,7008063,116,5216
953,6035247,106,4111
954,2008057,107,4110
955,1040188,109,4125
957,1032182,110,4125
958,7014060,109,4125
958,4006349,109,4125
960,6023170,106,5225
961,7027317,116,5216
962,6064183,110,4125
964,1024323,107,4110
965,1052149,109,4125
966,2033010,109,4203
967,2033295,107,4110
968,1022186,110,4125
969,6004027,107,4110
970,2017326,110,5217
971,4031227,109,4125
972,2017024,104,4107
973,7004106,113,4114
975,4008173,106,4111
976,2034192,102,4107
978,6021270,106,4111
979,5018120,106,4111
980,2007131,116,5216
982,2008219,113,4114
983,1032346,110,5217
984,7024152,113,4114
985,1045345,113,4114
986,5038373,106,4111
987,5020154,109,4125
988,6037026,107,4110
990,1007016,109,4125
991,2008158,104,4107
995,1042393,109,4125
996,2001398,113,4114
997,1017179,102,4101
998,6080070,109,4204
999,1064087,110,5217
1000,6088016,110,4125
1002,4001106,102,4117
1005,6033170,110,4125
1006,7022130,110,4125
1008,5002290,110,4125
1009,6077240,110,5217
1010,7022038,117,4124
1011,1017362,109,4125
1014,1045463,109,4203
1015,1031200,110,5217
1016,6081270,107,4111
1018,2033154,102,4109
1019,6059150,110,4107
1020,1044159,106,4111
1021,1044046,109,4125
1022,5040126,106,5225
1023,1042081,117,4124
1024,1013013,106,4111
1026,2023123,110,5217
1027,7020153,113,4114
1028,1016155,102,5229
1029,2034078,109,4203
1030,3012165,109,4125
1032,6001024,110,5217
1033,1045404,109,4203
1034,6017261,110,5217
1035,3014098,109,4203
1036,2029123,104,4107
1037,6005057,110,4125
1038,6002229,110,4125
1039,1045179,109,4125
1040,6021273,110,5217
1041,3010160,109,4125
1042,6007052,110,4125
1043,4012199,109,4203
1044,7015106,113,4114
1045,7024094,104,4109
1046,2046056,102,4107
1049,5038194,106,5225
1050,2026011,104,4107
1052,2051021,106,4111
1053,2035142,102,5229
