Rank,RollNo,Course
2936,1064013,R4109 
2937,5014313,V5233 
2940,7013115,R4107 
2942,4021138,R4109 
2943,7018157,R4109 
2946,4006247,H4125 
2947,6003276,G5210 
2948,2062117,R4136 
2949,1061028,V5233 
2950,2063053,R4109 
2951,4010051,B5245 
2954,6018233,M4127 
2955,4040015,B5244 
2957,4027347,V5223 
2958,3032205,G5210 
2959,4024215,R4109 
2960,1053126,G4120 
2961,7024065,R4107 
3070,7029274,R4107 
3071,2024080,G4120 
3072,4036241,V4109 
3073,5025211,B5244 
3075,5009113,M5202 
3076,1040259,G5210 
3078,1003073,K4204 
3079,5018200,R4107 
3080,1059105,N4111 
3082,5015230,N4125 
3083,7001280,R4107 
3084,1027125,B5245 
3085,1080094,K4202 
3086,5043303,G4120 
3087,4003097,V4109 
3088,2023142,R4107 
3089,2005126,K4204 
3090,1065235,R4107 
3092,6018015,M5215 
3092,2036220,H4118 
3094,5035160,A4125 
3095,2044183,V4109 
3096,1033060,N4111 
3097,6009054,E4110 
3098,1030138,B5503 
3099,7021352,N4111 
3100,2048231,V4107 
3101,5038172,M4127 
3102,3032236,P4110 
3103,2049108,J4110 
3106,4006409,J4110 
3107,2019212,J4110 
3108,2004256,R4107 
3109,2049137,K4202 
3110,7002275,C4110 
3112,4005010,N4125 
3113,7003156,D4139 
3114,7014267,R4107 
3115,1075199,M4127 
3117,1059256,K4123 
3118,5024184,S4110 
3225,1018338,N4125 
3226,7022150,R4107 
3228,6019097,G5215 
3229,2009243,D4139 
3230,1075153,D4139 
3231,4035386,R4107 
3233,3031206,G5230 
3236,1084228,R4107 
3238,1026228,M4127 
3239,1069182,K4202 
3241,2050115,R4107 
3244,4027458,G5215 
3245,5010008,M4127 
3246,5007052,G5230 
3247,2041239,G5215 
3249,7019036,R4136 
3251,5054293,K4123 
3253,4023177,K4202 
3256,1027139,W4117 
3257,5002334,M4127 
3258,2050034,M4127 
3260,2048114,K4123 
3262,5048148,W4107 
3263,1038040,R4136 
3266,1023113,V4107 
3267,6017030,H4118 
3268,7030230,V4109 
3268,2063246,V4107 
3272,5004301,G5230 
3274,6082048,M4132 
3275,7019023,R4136 
3276,4024222,G5215 
3277,3023190,W4109 
3278,4014078,V4109 
3279,1019255,G5201 
3280,6016233,W4109 
3384,2023030,D4139 
3385,1070235,V4107 
3386,4004191,G5243 
3387,1067004,R4136 
3388,7014238,R4136 
3389,3039158,U4111 
3390,7010126,G5230 
3390,4025061,E4111 
3392,1020297,N4125 
3394,2051161,G5230 
3395,2014044,D4139 
3396,6040221,A4111 
3397,7030304,J4110 
3398,7016279,D4139 
3400,1039387,N4125 
3401,1083168,P4110 
3403,4029059,V4107 
3404,1033193,W4109 
3405,2043029,W4117 
3406,7032237,K4202 
3407,2037090,W4107 
3409,1054220,V4109 
3411,5004320,M4127 
3412,7003130,C4110 
3414,4008321,W4117 
3416,5015140,G5504 
3417,7003257,D4139 
3418,2001040,J4110 
3420,2028073,V4109 
3421,1046201,G4105 
3422,1059152,W4109 
3424,6016213,H4118 
3424,6043032,A4110 
3426,2053157,R4136 
3427,7023109,A4110 
3428,6057146,M4132 
3430,6080005,M4127 
3431,7021118,U4111 
3432,7029084,E4125 
3433,6024053,V4109 
3434,5005121,A4110 
3436,6007166,R4136 
3437,2003103,V4109 
3542,6014138,H4109 
3543,6036146,A4110 
3544,1076127,A4125 
3545,2057551,V4107 
3546,3029032,K4123 
3548,6047143,A4111 
3552,2030078,R4136 
3553,2027127,D4139 
